processorNum iteration numProc time
14 3 32 1085002
15 3 32 1086711
16 3 32 1096501
17 3 32 1092652
18 3 32 1100994
19 3 32 1109645
20 3 32 1109698
21 3 32 1115766
22 3 32 1125191
23 3 32 1153039
24 3 32 1153985
25 3 32 1154710
26 3 32 1154793
27 3 32 1162445
28 3 32 1165005
29 3 32 1170785
30 3 32 1171827
31 3 32 1230161
32 3 32 1248190
1 3 32 996120
2 3 32 1003544
3 3 32 1018254
4 3 32 1021349
5 3 32 1028092
6 3 32 1033787
7 3 32 1047377
8 3 32 1049480
9 3 32 1058061
10 3 32 1065800
11 3 32 1068163
12 3 32 1075689
13 3 32 1079903
14 3 32 1084673
15 3 32 1085056
16 3 32 1084963
17 3 32 1085407
18 3 32 1089666
19 3 32 1096737
20 3 32 1105050
21 3 32 1105651
22 3 32 1107215
23 3 32 1147261
24 3 32 1147966
25 3 32 1151911
26 3 32 1152748
27 3 32 1155640
28 3 32 1170012
29 3 32 1205440
30 3 32 1233916
31 3 32 1257875
32 3 32 1348776
1 3 32 953801
2 3 32 996785
3 3 32 1016430
